-32348.842088	26943.429629	-2304.812987
-32355.538623	26951.311619	-2126.302806
-32361.135664	26959.993867	-1938.637326
-32365.545433	26969.332464	-1742.625160
-32368.699774	26979.173260	-1539.110759
-32370.551286	26989.354491	-1328.970774
-32371.074104	26999.709531	-1113.110273
-32370.264319	27010.069730	-892.458842
-32368.140013	27020.267271	-667.966580
-32364.740930	27030.138020	-440.600007
-32360.127776	27039.524298	-211.337908
-32354.381155	27048.277548	18.832879
-32347.600183	27056.260835	248.921708
-32339.900768	27063.351142	477.938378
-32331.413627	27069.441432	704.897393
-32322.282033	27074.442420	928.822192
-32312.659367	27078.284048	1148.749343
-32302.706486	27080.916621	1363.732679
-32292.588982	27082.311593	1572.847358
-32282.474350	27082.461991	1775.193833
-32272.529136	27081.382458	1969.901712
-32262.916101	27079.108934	2156.133488
-32253.791460	27075.697963	2333.088138
-32245.302227	27071.225648	2500.004553
-32237.583731	27065.786271	2656.164804
-32230.757334	27059.490598	2800.897225
-32224.928387	27052.463904	2933.579289
-32220.184474	27044.843749	3053.640280
-32216.593952	27036.777541	3160.563747
-32214.204836	27028.419938	3253.889712
-32213.044025	27019.930118	3333.216652
-32213.116904	27011.468983	3398.203220
-32214.407306	27003.196328	3448.569714
-32216.877854	26995.268037	3484.099278
-32220.470669	26987.833345	3504.638838
-32225.108424	26981.032220	3510.099767
-32230.695741	26974.992908	3500.458261
-32237.120894	26969.829680	3475.755457
-32244.257795	26965.640824	3436.097257
-32251.968229	26962.506921	3381.653880
-32260.104289	26960.489420	3312.659142
-32268.510990	26959.629551	3229.409457
-32277.028989	26959.947596	3132.262571
-32285.497392	26961.442509	3021.636038
-32293.756577	26964.091926	2898.005431
-32301.651000	26967.852532	2761.902308
-32309.031924	26972.660799	2613.911938
-32315.760032	26978.434076	2454.670794
-32321.707874	26985.072014	2284.863824
-32326.762108	26992.458293	2105.221516
-32330.825496	27000.462641	1916.516762
-32333.818620	27008.943086	1719.561546
-32335.681287	27017.748422	1515.203452
-32336.373602	27026.720832	1304.322026
-32335.876686	27035.698638	1087.824998
-32334.193028	27044.519110	866.644375
-32331.346472	27053.021312	641.732433
-32327.381824	27061.048909	414.057623
-32322.364099	27068.452903	184.600394
-32316.377413	27075.094250	-45.651025
-32309.523547	27080.846305	-275.704882
-32301.920199	27085.597058	-504.570185
-32293.698953	27089.251124	-731.260970
-32285.003018	27091.731443	-954.800556
-32275.984744	27092.980675	-1174.225763
-32266.802996	27092.962250	-1388.591072
-32257.620393	27091.661073	-1596.972705
-32248.600493	27089.083845	-1798.472618
-32239.904949	27085.259028	-1992.222386
-32231.690693	27080.236420	-2177.386953
-32224.107208	27074.086374	-2353.168244
-32217.293911	27066.898659	-2518.808619
-32211.377712	27058.780988	-2673.594146
-32206.470791	27049.857234	-2816.857690
-32202.668611	27040.265369	-2947.981802
-32200.048232	27030.155161	-3066.401384
-32198.666927	27019.685663	-3171.606136
-32198.561145	27009.022541	-3263.142762
-32199.745822	26998.335289	-3340.616925
-32202.214071	26987.794376	-3403.694954
-32205.937234	26977.568366	-3452.105280
-32210.865321	26967.821082	-3485.639607
-32216.927802	26958.708837	-3504.153808
-32224.034761	26950.377794	-3507.568540
-32232.078379	26942.961505	-3495.869581
-32240.934728	26936.578650	-3469.107884
-32250.465835	26931.331045	-3427.399345
-32260.522001	26927.301920	-3370.924296
-32270.944307	26924.554525	-3299.926714
-32281.567291	26923.131070	-3214.713155
-32292.221731	26923.052026	-3115.651425
-32302.737499	26924.315795	-3003.168974
-32312.946429	26926.898750	-2877.751043
-32322.685152	26930.755661	-2739.938563
-32331.797855	26935.820475	-2590.325800
-32340.138905	26942.007459	-2429.557792
